Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
Fundacion Mapfre	Mapfre Asset Management SGIIC SA	Europe	Financial investor
Maj Invest Holding A/S	Fondsmaeglerselskabet Maj Invest A/S	Europe	Financial investor
United Services Automobile Association	USAA Asset Management Co.	North America	Financial investor
Centerstone Investors LLC	Centerstone Investors LLC	North America	Financial investor
De Grote Voskuil Capital BV	De Grote Voskuil Capital BV	Europe	Financial investor
State of Zurich	Zurcher Kantonalbank Osterreich AG	Europe	Financial investor
Fundacion Bancaria Ibercaja	Ibercaja Gestion SGIIC SA	Europe	Financial investor
BBGI Group SA	BBGI Group SA	Europe	Financial investor
Cullen Capital Management LLC	Cullen Capital Management LLC	North America	Financial investor
Groupama Holding SA	Groupama Asset Management SA	Europe	Financial investor
SAS Rue la Boetie	Amundi Hong Kong Ltd.	Asia	Financial investor
Standard Life Aberdeen Plc	Ignis Investment Services Ltd.	Europe	Financial investor
Osiris Asset Management AG	Osiris Asset Management AG	Europe	Financial investor
CaixaBank SA	Caixabank Asset Management SGIIC SA	Europe	Financial investor
Vontobel Holding AG	Vontobel Asset Management, Inc.	North America	Financial investor
Edmond de Rothschild (Suisse) SA	Edmond de Rothschild Asset Management (Luxembourg) SA	Europe	Financial investor
Heptagon Capital LLP	Heptagon Capital LLP	Europe	Financial investor
Rocker & Walz Vermogensverwaltung GmbH	Rocker & Walz Vermogensverwaltung GmbH	Europe	Financial investor
Unigestion Holding	Unigestion SA	Europe	Financial investor
Miton Group Plc	Miton Trust Managers Ltd.	Europe	Financial investor
LAPLACE GmbH	LaRoute GmbH	Europe	Financial investor
Swiss Asset Partners Vermogensverwaltungs AG	Swiss Asset Partners Vermogensverwaltungs AG	Europe	Financial investor
Polaris Capital Management Holdings LLP	Polaris Capital Management LLC	North America	Financial investor
Franklin Resources, Inc.	Franklin Templeton Investment Management Ltd. (Germany)	Europe	Financial investor
Joh. Berenberg, Gossler & Co. KG	Berenberg Bank (Schweiz) AG	Europe	Financial investor
Dimensional Fund Advisors LP	DFA Australia Ltd.	Pacific	Financial investor
Dalton Capital (Holdings) Ltd.	Dalton Strategic Partnership LLP	Europe	Financial investor
Financiere de l'Echiquier SA	Financiere de l'Echiquier SA	Europe	Financial investor
Banque Degroof Petercam SA	Petercam (Luxembourg) SA	Europe	Financial investor
MLP SE	Michel & Cortesi Asset Management AG	Europe	Financial investor
Margetts Fund Management Ltd.	Margetts Fund Management Ltd.	Europe	Financial investor
Tokio Marine Holdings, Inc.	Tokio Marine Asset Management Co., Ltd.	Asia	Financial investor
Azimut Holding SpA	Azimut Capital Management SGR SpA	Europe	Financial investor
Finiens Wealth Management AG	Finiens Wealth Management AG	Europe	Financial investor
Van Lanschot Kempen NV	F. van Lanschot Bankiers NV (Belgium)	Europe	Financial investor
BNP Paribas SA	BNP Paribas Investment Partners Belgium SA	Europe	Financial investor
Mg Finance SA	Mg Finance SA	Europe	Financial investor
First Metro Asset Management, Inc.	First Metro Asset Management, Inc.	Asia	Financial investor
UBS Group AG	UBS Gestion SGIIC SA	Europe	Financial investor
Altrinsic Global Advisors LLC	Altrinsic Global Advisors LLC	North America	Financial investor
Marathon Asset Management LLP	Marathon Asset Management LLP	Europe	Financial investor
S.W. Mitchell Capital LLP	S.W. Mitchell Capital LLP	Europe	Financial investor
First Pacific Advisors LLC	First Pacific Advisors LLC	North America	Financial investor
The Capital Group Cos., Inc.	Capital International Ltd.	Europe	Financial investor
Addenda Capital, Inc.	Addenda Capital, Inc.	North America	Financial investor
M.M. Warburg & Co. Gruppe (GmbH & Co.) KGaA	Warburg Invest Luxembourg SA	Europe	Financial investor
BPCE SA	Harris Associates LP	North America	Financial investor
FERNANDEZ GONZALEZ CARLOS	Finaccess Mexico SA de CV SOSI	North America	Financial investor
J&E Davy Holdings Ltd.	Davy Asset Management Ltd.	Europe	Financial investor
Allgemeine Sparkasse Oberosterreich Bank AG	Sparkasse Oberosterreich Kapitalanlagegesellschaft m.bH.	Europe	Financial investor
State of Lucerne	LUKB Expert Fondsleitung AG	Europe	Financial investor
Merchban SA	Merchbanc SGIIC SA	Europe	Financial investor
Wintergreen Advisers LLC	Wintergreen Advisers LLC	North America	Financial investor
Compagnie Lombard Odier SCmA	Lombard Odier Gestion (Espana) SGIIC SA	Europe	Financial investor
Baumann & Partners SA	Baumann & Partners SA	Europe	Financial investor
Vontobel Holding AG	Vontobel Asset Management AG	Europe	Financial investor
Hexavest, Inc.	Hexavest, Inc.	North America	Financial investor
The Capital Group Cos., Inc.	Capital Guardian Trust Co.	North America	Financial investor
Bellatrix Asset Management SA	Bellatrix Asset Management SA	Europe	Financial investor
GN Group	GN Invest AG	Europe	Financial investor
Covea Cooperations SA	Covea Finance SAS	Europe	Financial investor
Hartz, Regehr & Partner GmbH	Hartz, Regehr & Partner GmbH	Europe	Financial investor
Magellan Financial Group Ltd.	Magellan Asset Management Ltd.	Pacific	Financial investor
Standard Life Aberdeen Plc	Standard Life Wealth Ltd.	Europe	Financial investor
Nordea Bank AB	Nordea PTE SA	Europe	Financial investor
Serrano Capital SA	Gesprofit SA SGIIC	Europe	Financial investor
Manulife Financial Corp.	Manulife Asset Management (Europe) Ltd.	Europe	Financial investor
Power Corp. of Canada	Canada Life Asset Management Ltd.	Europe	Financial investor
SAS Rue la Boetie	CA Indosuez Gestion SA	Europe	Financial investor
BPCE SA	Mirova SA (Investment Management)	Europe	Financial investor
MFI Asset Management GmbH	MFI Asset Management GmbH	Europe	Financial investor
Affiliated Managers Group, Inc.	Tweedy, Browne Co. LLC	North America	Financial investor
Matrix Capital Management Trust	Matrix Capital Management Trust	Europe	Financial investor
Top Beteiligungs GmbH	TOP Vermogensverwaltung AG	Europe	Financial investor
Legg Mason, Inc.	Martin Currie Investment Management Ltd.	Europe	Financial investor
avesco Financial Services AG	avesco Financial Services AG	Europe	Financial investor
ArrowMark Colorado Holdings LLC	ArrowMark Colorado Holdings LLC	North America	Financial investor
Pzena Investment Management LLC	Pzena Investment Management LLC	North America	Financial investor
AJO LP	AJO LP	North America	Financial investor
Advisory Services Network LLC	Advisory Services Network LLC	North America	Financial investor
NBSH Acquisition LLC	Neuberger Berman Investment Advisers LLC	North America	Financial investor
Carnegie Capital Asset Management LLC	Carnegie Capital Asset Management LLC	North America	Financial investor
Adhesion Wealth Advisor Solutions, Inc.	Atria Investments LLC	North America	Financial investor
The PNC Financial Services Group, Inc.	PNC Bank, NA (Investment Management)	North America	Financial investor
Power Corp. of Canada	London Capital Management	North America	Financial investor
Suffolk Capital Management LLC	Suffolk Capital Management LLC	North America	Financial investor
John A. Levin 2005 Separation Trust	Levin Capital Strategies LP	North America	Financial investor
JPMorgan Chase & Co.	JPMorgan Securities LLC (Investment Management)	North America	Financial investor
Schiketanz Capital Advisors GmbH	Schiketanz Capital Advisors GmbH	Europe	Financial investor
Focus Financial Partners LLC	Dorchester Wealth Management Co.	North America	Financial investor
Horizon Kinetics LLC	Horizon Asset Management LLC	North America	Financial investor
The Bank of New York Mellon Corp.	The Dreyfus Corp.	North America	Financial investor
Bank of America Corp.	Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)	North America	Financial investor
Bayesian Capital Management LP	Bayesian Capital Management LP	North America	Financial investor
TFS Capital LLC	TFS Capital LLC	North America	Financial investor
Wallace Capital Management, Inc.	Wallace Capital Management, Inc.	North America	Financial investor
Envestnet, Inc.	Envestnet Asset Management, Inc.	North America	Financial investor
KKR & Co. LP	KKR Credit Advisors (US) LLC	North America	Financial investor
Legg Mason, Inc.	Royce & Associates LP	North America	Financial investor
Affiliated Managers Group, Inc.	Systematic Financial Management LP	North America	Financial investor
Bank of America Corp.	Managed Account Advisors LLC	North America	Financial investor
Violich Capital Management	Violich Capital Management	North America	Financial investor
Portland Investment Counsel, Inc.	Portland Investment Counsel, Inc.	North America	Financial investor
The Penn Mutual Life Insurance Co.	Janney Montgomery Scott LLC (Investment Management)	North America	Financial investor
Deutsche Far Eastern Asset Management Co., Ltd.	Deutsche Far Eastern Asset Management Co., Ltd.	Asia	Financial investor
Ancora Holdings, Inc.	Ancora Advisors LLC	North America	Financial investor
Constance Associes SAS	Constance Associes SAS	Europe	Financial investor
EQIS Holding, Inc.	EQIS Capital Management, Inc.	North America	Financial investor
Central Bancompany, Inc.	Central Trust Co. (Missouri)	North America	Financial investor
Allianz SE	Allianz Global Investors Asia Pacific Ltd.	Asia	Financial investor
ORIX Corp.	Boston Partners Global Investors, Inc.	North America	Financial investor
Advisor Group, Inc. /New York/	Vision2020 Wealth Management Corp.	North America	Financial investor
Counterpoint Mutual Funds LLC	Counterpoint Mutual Funds LLC	North America	Financial investor
Absolute Investment Advisers LLC	Absolute Investment Advisers LLC	North America	Financial investor
Chescapmanager LLC	Chescapmanager LLC	North America	Financial investor
Private Advisor Group LLC	Private Advisor Group LLC	North America	Financial investor
Nicholas Investment Partners LP	Nicholas Investment Partners LP	North America	Financial investor
Peyman Capital & Associes SARL	Gutenberg Finance SA	Europe	Financial investor
Janus Henderson Group Plc	Henderson Global Investors (North America), Inc.	North America	Financial investor
Yelin Lapidot Investment House Ltd.	Yelin Lapidot Provident Funds Management Ltd.	Middle East	Financial investor
D.B.M Investment House Ltd.	D.B.M Investment House Ltd.	Middle East	Financial investor
Modelim Money Markets Ltd.	Modelim Money Markets Ltd.	Middle East	Financial investor
ETF Securities (UK) Ltd.	GO ETF Solutions LLP	Europe	Financial investor
Nile Capital Management LLC	Nile Capital Management LLC	North America	Financial investor
Efficient Group Ltd.	Efficient Select (Pty) Ltd.	Africa	Financial investor
Teton Advisors, Inc.	Teton Advisors, Inc. (Investment Management)	North America	Financial investor
Royal Bank of Canada	RBC Capital Markets LLC (Investment Management)	North America	Financial investor
Allianz SE	Allianz Global Investors Japan Co., Ltd.	Asia	Financial investor
Ameriprise Financial, Inc.	Ameriprise Financial Services, Inc. (Investment Management)	North America	Financial investor
Ameritas Mutual Holding Co.	Ameritas Investment Partners, Inc.	North America	Financial investor
Ativo Holdings LLC	Ativo Capital Management LLC	North America	Financial investor
The Wildermuth Family Trust	Wildermuth Advisory LLC	North America	Financial investor
Meeschaert Gestion Privee SA	Meeschaert Asset Management SA	Europe	Financial investor
Walleye Investments Fund LLC	Walleye Trading Advisors LLC	North America	Financial investor
Bridgeway Capital Management, Inc.	Bridgeway Capital Management, Inc.	North America	Financial investor
ICON Management & Research Corp.	ICON Advisers, Inc.	North America	Financial investor
Franklin Resources, Inc.	Franklin Advisory Services LLC	North America	Financial investor
Guggenheim Capital LLC	Security Investors LLC	North America	Financial investor
Ladenburg Thalmann Financial Services, Inc.	Securities America Advisors, Inc.	North America	Financial investor
The Vanguard Group, Inc.	Vanguard Fiduciary Trust Co.	North America	Financial investor
James Investment Research, Inc.	James Investment Research, Inc.	North America	Financial investor
Royal Bank of Canada	RBC Global Asset Management (US), Inc.	North America	Financial investor
RhumbLine Advisers Ltd. Partnership	RhumbLine Advisers Ltd. Partnership	North America	Financial investor
Federated Investors, Inc.	Federated MDTA LLC	North America	Financial investor
Kaizen Advisory LLC	Kaizen Advisory LLC	North America	Financial investor
Thomson Horstmann & Bryant, Inc. II	Thomson, Horstmann & Bryant, Inc.	North America	Financial investor
Man Group plc	Numeric Investors LLC	North America	Financial investor
CFN Holding Co., Inc.	Commonwealth Equity Services, Inc.	North America	Financial investor
Citigroup, Inc.	Citigroup Global Markets, Inc. (Investment Management)	North America	Financial investor
Vericimetry Advisors LLC	Vericimetry Advisors LLC	North America	Financial investor
New Amsterdam Partners LLC	New Amsterdam Partners LLC	North America	Financial investor
Wells Fargo & Co.	Golden Capital Management LLC	North America	Financial investor
BlackRock, Inc.	BlackRock Japan Co., Ltd.	Asia	Financial investor
IFP Advisors, Inc.	IFP Advisors, Inc.	North America	Financial investor
Bowling Portfolio Management LLC	Bowling Portfolio Management LLC	North America	Financial investor
First Horizon National Corp. (Tennessee)	FTB Advisors, Inc.	North America	Financial investor
Affiliated Managers Group, Inc.	First Quadrant LP	North America	Financial investor
Winslow, Evans & Crocker, Inc.	Winslow, Evans & Crocker, Inc. (Investment Management)	North America	Financial investor
Tower Research Capital LLC	Tower Research Capital LLC	North America	Financial investor
Los Angeles Capital Management & Equity Research, Inc.	Los Angeles Capital Management & Equity Research, Inc.	North America	Financial investor
Shufro, Rose & Co. LLC	Shufro, Rose & Co. LLC	North America	Financial investor
Goss Wealth Management LLC	Goss Wealth Management LLC	North America	Financial investor
Martingale Asset Management LP	Martingale Asset Management LP	North America	Financial investor
DST Systems, Inc.	ALPS Advisors, Inc.	North America	Financial investor
Highland Capital Healthcare Advisors GP LLC	Highland Capital Management Fund Advisors LP	North America	Financial investor
Snow Capital Management Holdings LP	Snow Capital Management LP	North America	Financial investor
Smithfield Trust Co.	Smithfield Trust Co.	North America	Financial investor
Compagnie Lombard Odier SCmA	Lombard Odier Europe S.A. (France)	Europe	Financial investor
State of Lower Saxony (Germany)	NORD/LB Asset Management AG	Europe	Financial investor
Horizon Investments LLC	Horizon Investments LLC	North America	Financial investor
Raiffeisen Bank International AG	Kathrein Privatbank AG	Europe	Financial investor
CWM Advisors LLC	CWM Advisors LLC	North America	Financial investor
Catella AB	IPM Informed Portfolio Management AB	Europe	Financial investor
Power Financial Corp.	Putnam Investments Ltd.	Europe	Financial investor
Groupe Prevoir	Societe de Gestion Prevoir SA	Europe	Financial investor
UBS Group AG	UBS Global Asset Management (Canada) Inc.	North America	Financial investor
TIAA Board of Overseers	NWQ Investment Management Co. LLC	North America	Financial investor
Finconsult SA	Gesconsult SA SGIIC	Europe	Financial investor
Aktia Bank Plc	Aktia Asset Management Ltd.	Europe	Financial investor
Magallanes Value Investors SA SGIIC	Magallanes Value Investors SA SGIIC	Europe	Financial investor
Banco Santander SA	Popular Gestion Privada SGIIC SA	Europe	Financial investor
Welzia Investments SL	Welzia Management SGIIC SA	Europe	Financial investor
Dominice & Co. - Asset Management	Dominice & Co. - Asset Management	Europe	Financial investor
MRM-Horizon Advisors LLC	MRM-Horizon Advisors LLC	North America	Financial investor
Royal Bank of Canada	City National Rochdale LLC	North America	Financial investor
Advisory Invest GmbH	Advisory Invest GmbH	Europe	Financial investor
Euroagentes Gestion SGIIC SA	Euroagentes Gestion SGIIC SA	Europe	Financial investor
Novo Banco SA	GNB Sociedade Gestora de Fundos de Investimento Mobiliario SA	Europe	Financial investor
Novo Banco SA	Novo Banco Gestion SGIIC SA	Europe	Financial investor
Nordic Equities Kapitalforvaltning AB	Nordic Equities Kapitalforvaltning AB	Europe	Financial investor
Amplegest SAS	Amplegest SAS	Europe	Financial investor
Cogent Asset Management Ltd.	Cogent Asset Management Ltd.	Asia	Financial investor
Grossbotzl, Schmitz & Partner Vermogensverwaltersozietat GmbH	Grossboetzl Schmitz & Partners Kapitalanlagegesellschaft SA	Europe	Financial investor
smart-invest GmbH	smart-invest GmbH	Europe	Financial investor
The Principal Financial Group, Inc.	Origin Asset Management LLP	Europe	Financial investor
LI FAMILY	PineBridge Investments LLC	North America	Financial investor
Partners Group Holding AG	Partners Group AG	Europe	Financial investor
Bankhaus Carl Spangler & Co. AG	Bankhaus Carl Spangler & Co. AG (Investment Management)	Europe	Financial investor
Dr. Blumer & Partners Group	Dr. Blumer & Partner Asset Management AG	Europe	Financial investor
AgioFunds TFI SA	AgioFunds TFI SA	Europe	Financial investor
Opera TFI SA	Opera TFI SA	Europe	Financial investor
Aramea Asset Management AG	Aramea Asset Management AG	Europe	Financial investor
Schroder Equities GmbH	Schroder Equities GmbH	Europe	Financial investor
National Australia Bank Ltd.	Antares Capital Partners Ltd.	Pacific	Financial investor
Alcyon Investments Pty Ltd.	Tribeca Investment Partners Pty Ltd.	Pacific	Financial investor
National Australia Bank Ltd.	MLC Investments Ltd.	Pacific	Financial investor
White Funds Management Pty Ltd.	White Funds Management Pty Ltd.	Pacific	Financial investor
Flaskamp Invest SA	Flaskamp Invest SA	Europe	Financial investor
AMP Ltd.	AMP Capital Investors Ltd.	Pacific	Financial investor
Endeavor Asset Management Pty Ltd.	Endeavor Asset Management Pty Ltd.	Pacific	Financial investor
TA Associates Management Holding LP	Russell Investment Management Ltd.	Pacific	Financial investor
Tobam Holding Co. SASU	TOBAM SAS	Europe	Financial investor
LI FAMILY	PineBridge Investments (Singapore) Ltd.	Asia	Financial investor
Groupe Credit Mutuel-CIC	Federal Finance Gestion SA	Europe	Financial investor
PINAULT FRANCOIS FAMILY	Jade River Management Ltd.	Asia	Financial investor
Dragon Capital Management Co. Ltd.	Dragon Capital Management Co. Ltd.	Asia	Financial investor
Oversea-Chinese Banking Corp. Ltd.	Lion Global Investors Ltd.	Asia	Financial investor
Cutter & Co. Brokerage, Inc.	Cutter & Co. Brokerage, Inc. (Investment Management)	North America	Financial investor
Harvest Fund Management Co., Ltd.	Harvest Fund Management Co., Ltd.	Asia	Financial investor
Soochow Securities Co., Ltd.	Soochow Asset Management Co., Ltd.	Asia	Financial investor
Government of China	Hwabao Trust Co., Ltd. (Investment Portfolio)	Asia	Financial investor
Chang Xin Asset Management Co., Ltd.	Chang Xin Asset Management Co., Ltd.	Asia	Financial investor
China Southern Asset Management Co., Ltd.	China Southern Asset Management Co., Ltd.	Asia	Financial investor
Guotai Junan Allianz Fund Management Co., Ltd.	Guotai Junan Allianz Fund Management Co., Ltd.	Asia	Financial investor
Penghua Fund Management Co., Ltd.	Penghua Fund Management Co., Ltd.	Asia	Financial investor
Fortune SG Fund Management Co., Ltd.	Fortune SG Fund Management Co., Ltd.	Asia	Financial investor
AXA-SPDB Investment Managers Co., Ltd.	AXA-SPDB Investment Managers Co., Ltd.	Asia	Financial investor
China Post & Capital Fund Management Co., Ltd.	China Post & Capital Fund Management Co., Ltd.	Asia	Financial investor
Caitong Fund Management Co., Ltd.	Caitong Fund Management Co., Ltd.	Asia	Financial investor
Western Leadbank Fund Management Co., Ltd	Western Leadbank Fund Management Co., Ltd	Asia	Financial investor
Golden Eagle Asset Management Co., Ltd.	Golden Eagle Asset Management Co., Ltd.	Asia	Financial investor
Government of China	China Resources SZITIC Trust Co., Ltd.	Asia	Financial investor
Truvalue Asset Management Co. Ltd.	Truvalue Asset Management Co. Ltd.	Asia	Financial investor
ICBC Credit Suisse Asset Management Co., Ltd.	ICBC Credit Suisse Asset Management Co., Ltd.	Asia	Financial investor
China Asset Management Co., Ltd.	China Asset Management Co., Ltd.	Asia	Financial investor
HuaAn Fund Management Co., Ltd.	HuaAn Fund Management Co., Ltd.	Asia	Financial investor
Zhong Ou Asset Management Co., Ltd	Zhong Ou Asset Management Co., Ltd	Asia	Financial investor
Huashang Fund Management Co., Ltd.	Huashang Fund Management Co., Ltd.	Asia	Financial investor
Great Wall Fund Management Co., Ltd.	Great Wall Fund Management Co., Ltd.	Asia	Financial investor
GUO GUANG CHANG	Tebon Fund Management Co. Ltd.	Asia	Financial investor
China Universal Asset Management Co., Ltd.	China Universal Asset Management Co., Ltd.	Asia	Financial investor
Bank of China Investment Management Co., Ltd.	Bank of China Investment Management Co., Ltd.	Asia	Financial investor
First-Trust Fund Management Co., Ltd.	First-Trust Fund Management Co., Ltd.	Asia	Financial investor
Everbright Pramerica Fund Management Co., Ltd.	Everbright Pramerica Fund Management Co., Ltd.	Asia	Financial investor
Lion Fund Management Co., Ltd.	Lion Fund Management Co., Ltd.	Asia	Financial investor
Bank of Communications Schroder Fund Management Co., Ltd.	Bank of Communications Schroder Fund Management Co., Ltd.	Asia	Financial investor
AEGON-INDUSTRIAL Fund Management Co., Ltd.	AEGON-INDUSTRIAL Fund Management Co., Ltd.	Asia	Financial investor
Samsung Life Insurance Co., Ltd.	Samsung Asset Management Co., Ltd.	Asia	Financial investor
Hanwha Life Insurance Co., Ltd.	Hanwha Asset Management Co., Ltd.	Asia	Financial investor
KB Financial Group, Inc.	KB Asset Management Co., Ltd.	Asia	Financial investor
The Value & Co.	VIP Research & Management	Asia	Financial investor
BOOKOOK SECURITIES Co., Ltd.	Yurie Asset Management Co., Ltd.	Asia	Financial investor
Allianz SE	Allianz Global Investors Korea Ltd.	Asia	Financial investor
Shinhan BNP Paribas Asset Management Co., Ltd.	Shinhan BNP Paribas Asset Management Co., Ltd.	Asia	Financial investor
Franklin Resources, Inc.	Franklin Templeton Investment Trust Management Co., Ltd.	Asia	Financial investor
PARK HYEON-JOO	Mirae Asset Global Investments Co., Ltd.	Asia	Financial investor
Korea Investment Holdings Co., Ltd.	Korea Investment Management Co., Ltd.	Asia	Financial investor
KIWOOM Securities Co., Ltd.	Kiwoom Asset Management Co., Ltd.	Asia	Financial investor
Commonwealth Bank of Australia	First State Investments (Singapore)	Asia	Financial investor
Commonwealth Bank of Australia	First State Investments (Hong Kong) Ltd.	Asia	Financial investor
Mega Financial Holding Co., Ltd.	Mega International Investment Trust Co., Ltd.	Asia	Financial investor
The Leuthold Group LLC	The Leuthold Group LLC (Investment Management)	North America	Financial investor
Manulife Financial Corp.	Manulife Asset Management (Taiwan) Co., Ltd.	Asia	Financial investor
PARK HYEON-JOO	Mirae Asset Global Investments (Hong Kong) Ltd.	Asia	Financial investor
Janus Henderson Group Plc	Henderson Global Investors (Singapore) Ltd.	Asia	Financial investor
BlackRock, Inc.	BlackRock Investment Management (Taiwan) Ltd.	Asia	Financial investor
Value Partners Group Ltd.	Value Partners Ltd.	Asia	Financial investor
BlackRock, Inc.	BlackRock Asset Management North Asia Ltd.	Asia	Financial investor
The Hamon Investment Group Pte Ltd.	Blackfriars Asset Management Ltd.	Europe	Financial investor
Capital Investment Trust Corp.	Capital Investment Trust Corp.	Asia	Financial investor
Shin Kong Financial Holding Co. Ltd.	Shin Kong Investment Trust Co., Ltd.	Asia	Financial investor
Wellington Management Group LLP	Wellington Management Singapore Pte Ltd.	Asia	Financial investor
State Street Corp.	State Street Global Advisors Asia Ltd.	Asia	Financial investor
HSBC Holdings Plc	Hang Seng Investment Management Ltd.	Asia	Financial investor
Wellington Management Group LLP	Wellington Management International Ltd.	Europe	Financial investor
UBS Group AG	UBS Asset Management (Singapore) Ltd.	Asia	Financial investor
Japan Agricultural Cooperatives Group	Norinchukin Zenkyoren Asset Management Co. Ltd.	Asia	Financial investor
Shinkin Central Bank	Shinkin Asset Management Co., Ltd.	Asia	Financial investor
Man Group plc	GLG Partners LP	Europe	Financial investor
Bayview Holdings Co. Ltd.	Bayview Asset Management Co., Ltd.	Asia	Financial investor
Daiwa SB Investments Ltd.	Daiwa SB Investments Ltd.	Asia	Financial investor
T&D Holdings, Inc.	T&D Asset Management Co., Ltd.	Asia	Financial investor
Asahi Mutual Life Insurance Co.	Asahi Life Asset Management Co., Ltd.	Asia	Financial investor
The Capital Group Cos., Inc.	Capital International KK	Asia	Financial investor
The Chugoku Bank, Ltd.	Chugin Asset Management Co., Ltd.	Asia	Financial investor
Asset Management One Co., Ltd.	Asset Management One International Ltd.	Europe	Financial investor
Fivestar Asset Management Co. Ltd.	Fivestar Asset Management Co. Ltd.	Asia	Financial investor
JPMorgan Chase & Co.	JPMorgan Asset Management (Japan) Ltd.	Asia	Financial investor
Russell Investment Management LLC	Russell Investments Japan Co. Ltd.	Asia	Financial investor
SPARX Group Co., Ltd.	SPARX Asset Management Co., Ltd.	Asia	Financial investor
Simplex Financial Holdings Co., Ltd.	Simplex Asset Management Co., Ltd.	Asia	Financial investor
Evarich Asset Management	Evarich Asset Management	Asia	Financial investor
Dr. Bost & Compagnon Vermogensverwaltungs GbmH	Dr. Bost & Compagnon Vermogensverwaltungs GbmH	Europe	Financial investor
Landry Investment Management, Inc.	Landry Investment Management, Inc.	North America	Financial investor
Nippon Finance Management Kaisha Ltd.	Nippon Finance Management Kaisha Ltd.	Asia	Financial investor
Oberweis Asset Management, Inc.	Oberweis Asset Management, Inc.	North America	Financial investor
Cerberus AB	Cerberus AB	Europe	Financial investor
LI FAMILY	PineBridge Investments Japan Co., Ltd.	Asia	Financial investor
Mitsubishi UFJ Financial Group, Inc.	MU Investments Co., Ltd.	Asia	Financial investor
Eaton Vance Corp.	Eaton Vance Management (International) Ltd.	Europe	Financial investor
Bank of Montreal	BMO Global Asset Management (Asia) Ltd.	Asia	Financial investor
BlackRock, Inc.	BlackRock International Ltd.	Europe	Financial investor
New York Life Insurance Co.	Candriam Luxembourg SA	Europe	Financial investor
OLZ & Partners Asset & Liability Management AG	OLZ & Partners Asset & Liability Management AG	Europe	Financial investor
BT Group Plc	Hermes BPK Ltd.	Europe	Financial investor
China Merchants Fund Management Co., Ltd.	China Merchants Fund Management Co., Ltd.	Asia	Financial investor
Manulife TEDA Fund Management Co., Ltd.	Manulife TEDA Fund Management Co., Ltd.	Asia	Financial investor
Guangzhou Securities Co., Ltd.	Guangzhou Securities Co., Ltd. (Investment Management)	Asia	Financial investor
JT Asset Management Co., Ltd.	JT Asset Management Co., Ltd.	Asia	Financial investor
Beixin Ruifeng Fund Management Co. Ltd.	Beixin Ruifeng Fund Management Co. Ltd.	Asia	Financial investor
Minsheng Royal Fund Management Co., Ltd.	Minsheng Royal Fund Management Co., Ltd.	Asia	Financial investor
Harfor Fund Management Co., Ltd.	Harfor Fund Management Co., Ltd.	Asia	Financial investor
Yinhua Fund Management Co., Ltd.	Yinhua Fund Management Co., Ltd.	Asia	Financial investor
Shanghai AJ Group Co. Ltd.	Shanghai AJ Trust Co. Ltd.	Asia	Financial investor
Invesco Great Wall Fund Management Co., Ltd.	Invesco Great Wall Fund Management Co. Ltd. (Invt Mgmt)	Asia	Financial investor
Guosen Securities Co., Ltd.	Guosen Securities Co., Ltd. (Investment Management)	Asia	Financial investor
E Fund Management Co., Ltd.	E Fund Management Co., Ltd.	Asia	Financial investor
Dr. Kohlhase Vermogensverwaltungsgesellschaft mbH	Dr. Kohlhase Vermogensverwaltungsgesellschaft mbH	Europe	Financial investor
The Principal Financial Group, Inc.	Principal Global Investors (Asia) Ltd.	Asia	Financial investor
Friedland Gestion SAS	Friedland Gestion SAS	Europe	Financial investor
Ping An UOB Fund Management Co., Ltd.	Ping An UOB Fund Management Co., Ltd.	Asia	Financial investor
Government of China	China Huarong Asset Management Co., Ltd. (Invt Port)	Asia	Financial investor
Bank of Nanjing Co., Ltd.	Xinyuan Asset Management Co., Ltd.	Asia	Financial investor
Bosera Asset Management Co., Ltd.	Bosera Asset Management Co., Ltd.	Asia	Financial investor
Galaxy Asset Management Co., Ltd.	Galaxy Asset Management Co., Ltd.	Asia	Financial investor
Zhejiang Ant Small & Micro Financial Services Group Co., Ltd.	Tian Hong Asset Management Co., Ltd.	Asia	Financial investor
Province of Shaanxi	Shaanxi International Trust Co. Ltd. (Invt Mgmt)	Asia	Financial investor
New Times Securities Co. Ltd.	Rongtong Fund Management Co., Ltd.	Asia	Financial investor
Hongde Fund Management Co., Ltd.	Hongde Fund Management Co., Ltd.	Asia	Financial investor
Guotai Asset Management Co., Ltd.	Guotai Asset Management Co., Ltd.	Asia	Financial investor
T. Rowe Price Group, Inc.	T. Rowe Price Hong Kong Ltd.	Asia	Financial investor
CSOP Asset Management Ltd.	CSOP Asset Management Ltd.	Asia	Financial investor
Yimin Asset Management Co., Ltd.	Yimin Asset Management Co., Ltd.	Asia	Financial investor
CDH China Management Co., Ltd.	CDH Investment Advisory Private Ltd.	Asia	Financial investor
SWS MU Fund Management Co., Ltd.	SWS MU Fund Management Co., Ltd.	Asia	Financial investor
Government of Malaysia	Permodalan Nasional Bhd.	Asia	Financial investor
BNP Paribas SA	BNP PARIBAS ASSET MANAGEMENT Asia Ltd.	Asia	Financial investor
Union Bancaire Privee, UBP SA	UBP Asset Management Asia Ltd.	Asia	Financial investor
AMMB Holdings Bhd.	AmIslamic Funds Management Sdn. Bhd.	Asia	Financial investor
Prudential Plc	Eastspring Investments Bhd.	Asia	Financial investor
