Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
Orkla ASA	Orkla ASA	Europe	Non-financial corporation
ORIOR AG	ORIOR AG	Europe	Non-financial corporation
SalMar ASA	SalMar ASA	Europe	Non-financial corporation
Maruha Nichiro Corp.	Maruha Nichiro Corp.	Asia	Non-financial corporation
Schouw & Co A/S	Schouw & Co A/S	Europe	Non-financial corporation
Mitsubishi Corp.	Mitsubishi Corp.	Asia	Non-financial corporation
Willy Food Investments Ltd.	Willy Food Investments Ltd.	Middle East	Non-financial corporation
BSD Crown Ltd.	BSD Crown Ltd.	Middle East	Non-financial corporation
SAJOHAEPYO Corp.	SAJOHAEPYO Corp.	Asia	Non-financial corporation
Sajo Industries Co., Ltd.	Sajo Industries Co., Ltd.	Asia	Non-financial corporation
Sajo Industries Co., Ltd.	Sajo Seafood Co., Ltd.	Asia	Non-financial corporation
SEMPIO Co.	SEMPIO Co.	Asia	Non-financial corporation
Samyang Holdings Corp.	Samyang Corp.	Asia	Non-financial corporation
SAJODAERIM Corp.	SAJODAERIM Corp.	Asia	Non-financial corporation
Woosung Feed Co., Ltd.	Woosung Feed Co., Ltd.	Asia	Non-financial corporation
CJ CheilJedang Corp.	CJ CheilJedang Corp.	Asia	Non-financial corporation
Kikkoman Corp.	Kikkoman Corp.	Asia	Non-financial corporation
Yokohama Maruuo Co., Ltd.	Yokohama Maruuo Co., Ltd.	Asia	Non-financial corporation
Chubu Suisan Co., Ltd.	Chubu Suisan Co., Ltd.	Asia	Non-financial corporation
Chuo Gyorui Co., Ltd.	Chuo Gyorui Co., Ltd.	Asia	Non-financial corporation
Kyokuyo Co., Ltd.	Kyokuyo Co., Ltd.	Asia	Non-financial corporation
Riken Vitamin Co., Ltd.	Riken Vitamin Co., Ltd.	Asia	Non-financial corporation
Nisshinbo Holdings Inc.	Nisshinbo Holdings Inc.	Asia	Non-financial corporation
Toyo Seikan Group Holdings Ltd.	Toyo Seikan Group Holdings Ltd.	Asia	Non-financial corporation
NICHIMO CO., LTD.	NICHIMO CO., LTD.	Asia	Non-financial corporation
Tsukiji Uoichiba Co., Ltd.	Tsukiji Uoichiba Co., Ltd.	Asia	Non-financial corporation
Daisui Co., Ltd.	Daisui Co., Ltd.	Asia	Non-financial corporation
OUG Holdings, Inc.	OUG Holdings, Inc.	Asia	Non-financial corporation
Tokio Marine Holdings, Inc.	Tokio Marine Holdings, Inc.	Asia	Non-financial corporation
NOF Corp.	NOF Corp.	Asia	Non-financial corporation
Mochida Pharmaceutical Co., Ltd.	Mochida Pharmaceutical Co., Ltd.	Asia	Non-financial corporation
Okuwa Co., Ltd.	Okuwa Co., Ltd.	Asia	Non-financial corporation
Toei Reefer Line Ltd.	Toei Reefer Line Ltd.	Asia	Non-financial corporation
Duskin Co., Ltd.	Duskin Co., Ltd.	Asia	Non-financial corporation
Hazama Ando Corp.	Hazama Ando Corp.	Asia	Non-financial corporation
Nippon Suisan Kaisha, Ltd.	Nippon Suisan Kaisha, Ltd.	Asia	Non-financial corporation
Kato Sangyo Co., Ltd.	Kato Sangyo Co., Ltd.	Asia	Non-financial corporation
Mitsubishi Estate Co., Ltd.	Mitsubishi Estate Co., Ltd.	Asia	Non-financial corporation
Matsuda Sangyo Co., Ltd.	Matsuda Sangyo Co., Ltd.	Asia	Non-financial corporation
Yokohama Gyorui Co., Ltd.	Yokohama Gyorui Co., Ltd.	Asia	Non-financial corporation
Sun A. Kaken Co., Ltd.	Sun A. Kaken Co., Ltd.	Asia	Non-financial corporation
Axial Retailing, Inc.	Axial Retailing, Inc.	Asia	Non-financial corporation
Hokkan Holdings Ltd.	Hokkan Holdings Ltd.	Asia	Non-financial corporation
Hayashikane Sangyo Co., Ltd.	Hayashikane Sangyo Co., Ltd.	Asia	Non-financial corporation
Nitto Seimo Co., Ltd.	Nitto Seimo Co., Ltd.	Asia	Non-financial corporation
Tohto Suisan Co., Ltd.	Tohto Suisan Co., Ltd.	Asia	Non-financial corporation
Yuasa Funashoku Co., Ltd.	Yuasa Funashoku Co., Ltd.	Asia	Non-financial corporation
CAC Holdings Corp.	CAC Holdings Corp.	Asia	Non-financial corporation
Maruichi Co., Ltd.	Maruichi Co., Ltd.	Asia	Non-financial corporation
Chilled & Frozen Logistics Holdings Co., Ltd.	Chilled & Frozen Logistics Holdings Co., Ltd.	Asia	Non-financial corporation
SAGAMI CHAIN CO., LTD.	SAGAMI CHAIN CO., LTD.	Asia	Non-financial corporation
OIE SANGYO Co., Ltd.	OIE SANGYO Co., Ltd.	Asia	Non-financial corporation
Kuze Co., Ltd.	Kuze Co., Ltd.	Asia	Non-financial corporation
Higashimaru Co., Ltd.	Higashimaru Co., Ltd.	Asia	Non-financial corporation
Yonkyu Co., Ltd.	Yonkyu Co., Ltd.	Asia	Non-financial corporation
The Torigoe Co., Ltd.	The Torigoe Co., Ltd.	Asia	Non-financial corporation
Starzen Co., Ltd.	Starzen Co., Ltd.	Asia	Non-financial corporation
Isewan Terminal Service Co., Ltd.	Isewan Terminal Service Co., Ltd.	Asia	Non-financial corporation
Kanematsu Corp.	Kanematsu Corp.	Asia	Non-financial corporation
EBARA Foods Industry, Inc.	EBARA Foods Industry, Inc.	Asia	Non-financial corporation
Yokohama Reito Co., Ltd.	Yokohama Reito Co., Ltd.	Asia	Non-financial corporation
The Nisshin OilliO Group, Ltd.	The Nisshin OilliO Group, Ltd.	Asia	Non-financial corporation
Yasuda Logistics Corp.	Yasuda Logistics Corp.	Asia	Non-financial corporation
Keihin Co., Ltd.	Keihin Co., Ltd.	Asia	Non-financial corporation
Furubayashi Shiko Co., Ltd.	Furubayashi Shiko Co., Ltd.	Asia	Non-financial corporation
Feed One Co., Ltd.	Feed One Co., Ltd.	Asia	Non-financial corporation
Nippon Flour Mills Co., Ltd.	Nippon Flour Mills Co., Ltd.	Asia	Non-financial corporation
Kitoku Shinryo Co., Ltd.	Kitoku Shinryo Co., Ltd.	Asia	Non-financial corporation
Maruzen Showa Unyu Co., Ltd.	Maruzen Showa Unyu Co., Ltd.	Asia	Non-financial corporation
Maruo Calcium Co., Ltd.	Maruo Calcium Co., Ltd.	Asia	Non-financial corporation
Ohishi Sangyo Co., Ltd.	Ohishi Sangyo Co., Ltd.	Asia	Non-financial corporation
Fukutome Meat Packers, Ltd.	Fukutome Meat Packers, Ltd.	Asia	Non-financial corporation
Maruto Sangyo Co., Ltd.	Maruto Sangyo Co., Ltd.	Asia	Non-financial corporation
Kureha Corp.	Kureha Corp.	Asia	Non-financial corporation
Luckland Co., Ltd.	Luckland Co., Ltd.	Asia	Non-financial corporation
OM2 Network Co., Ltd.	OM2 Network Co., Ltd.	Asia	Non-financial corporation
Uoki Co., Ltd.	Uoki Co., Ltd.	Asia	Non-financial corporation
FP Corp.	FP Corp.	Asia	Non-financial corporation
Mitsubishi Corp.	Chuo Kagaku Co., Ltd.	Asia	Non-financial corporation
Tayca Corp.	Tayca Corp.	Asia	Non-financial corporation
Nomura Holdings, Inc.	Sugimura Warehouse Co., Ltd.	Asia	Non-financial corporation
Nippon Chemical Industrial Co., Ltd.	Nippon Chemical Industrial Co., Ltd.	Asia	Non-financial corporation
Chugoku Marine Paints, Ltd.	Chugoku Marine Paints, Ltd.	Asia	Non-financial corporation
Daicel Corp.	Daicel Corp.	Asia	Non-financial corporation
FAST RETAILING CO., LTD.	FAST RETAILING CO., LTD.	Asia	Non-financial corporation
Sanoyas Holdings Corp.	Sanoyas Holdings Corp.	Asia	Non-financial corporation
Nihon Nohyaku Co., Ltd.	Nihon Nohyaku Co., Ltd.	Asia	Non-financial corporation
Chofu Seisakusho Co., Ltd.	Chofu Seisakusho Co., Ltd.	Asia	Non-financial corporation
Daido Kogyo Co., Ltd.	Daido Kogyo Co., Ltd.	Asia	Non-financial corporation
Toyo Wharf & Warehouse Co., Ltd.	Toyo Wharf & Warehouse Co., Ltd.	Asia	Non-financial corporation
Toda Kogyo Corp.	Toda Kogyo Corp.	Asia	Non-financial corporation
Gun Ei Chemical Industry Co., Ltd.	Gun Ei Chemical Industry Co., Ltd.	Asia	Non-financial corporation
Iwatsu Electric Co., Ltd.	Iwatsu Electric Co., Ltd.	Asia	Non-financial corporation
Hiroshima Gas Co., Ltd.	Hiroshima Gas Co., Ltd.	Asia	Non-financial corporation
Sojitz Corp.	Sojitz Corp.	Asia	Non-financial corporation
Sinfonia Technology Co., Ltd.	Sinfonia Technology Co., Ltd.	Asia	Non-financial corporation
TOLI Corp.	TOLI Corp.	Asia	Non-financial corporation
Azuma Shipping Co., Ltd.	Azuma Shipping Co., Ltd.	Asia	Non-financial corporation
Toabo Corp.	Toabo Corp.	Asia	Non-financial corporation
NHK Spring Co., Ltd.	NHK Spring Co., Ltd.	Asia	Non-financial corporation
DAISUE CONSTRUCTION CO., LTD.	DAISUE CONSTRUCTION CO., LTD.	Asia	Non-financial corporation
Boso Oil & Fat Co., Ltd.	Boso Oil & Fat Co., Ltd.	Asia	Non-financial corporation
Imuraya Group Co., Ltd.	Imuraya Group Co., Ltd.	Asia	Non-financial corporation
Furukawa Co., Ltd.	Furukawa Co., Ltd.	Asia	Non-financial corporation
Kamigumi Co., Ltd.	Kamigumi Co., Ltd.	Asia	Non-financial corporation
Namura Shipbuilding Co., Ltd.	Namura Shipbuilding Co., Ltd.	Asia	Non-financial corporation
Kuwayama Corp.	Kuwayama Corp.	Asia	Non-financial corporation
Toho Kinzoku Co. Ltd.	Toho Kinzoku Co. Ltd.	Asia	Non-financial corporation
KATO WORKS CO., LTD.	KATO WORKS CO., LTD.	Asia	Non-financial corporation
Nichia Steel Works, Ltd.	Nichia Steel Works, Ltd.	Asia	Non-financial corporation
Toyo Kanetsu KK	Toyo Kanetsu KK	Asia	Non-financial corporation
Yorozu Corp.	Yorozu Corp.	Asia	Non-financial corporation
Shikoku Chemicals Corp.	Shikoku Chemicals Corp.	Asia	Non-financial corporation
Toyo Construction Co., Ltd.	Toyo Construction Co., Ltd.	Asia	Non-financial corporation
